order_id,order_date,restaurant_name,delivery_zone,order_value,delivery_time_mins,rider_rating,order_status,payment_method,discount_applied,customer_complaints
ORD00038,2024-03-01,Burger Hub,West,1521.00,65,3.30,Cancelled,Wallet,17.00,0
ORD00039,2024-01-09,Spice Garden,North,1226.00,82,4.00,Delivered,UPI,17.00,2
ORD00040,2024-06-13,Sushi Bay,South,1640.00,28,3.00,Refunded,Card,0.00,3
ORD00041,2024-01-26,Burger Hub,South,1500.00,84,3.60,Refunded,UPI,28.00,2
ORD00042,2024-07-28,Wrap & Roll,West,994.00,69,2.40,Cancelled,Card,28.00,0
ORD00043,2024-07-05,Burger Hub,East,526.00,19,4.10,Delayed,Cash,17.00,0
ORD00044,2024-12-28,Sushi Bay,East,1419.00,50,3.20,Refunded,Wallet,16.00,1
ORD00045,2024-05-27,Pizza Palace,West,1471.00,33,4.50,Refunded,UPI,19.00,0
ORD00046,2024-12-01,Spice Garden,Central,1432.00,68,3.30,Refunded,UPI,15.00,3
ORD00047,2024-04-25,Burger Hub,Central,998.00,60,4.40,Delayed,Cash,11.00,1
ORD00048,2024-12-13,Burger Hub,Central,1707.00,64,2.60,Cancelled,Wallet,18.00,1
ORD00049,2024-12-11,Sushi Bay,Central,1550.00,17,2.40,Delivered,UPI,17.00,0
ORD00050,2024-05-06,Wrap & Roll,Central,441.00,65,5.00,Refunded,Wallet,21.00,3
ORD00051,2024-09-11,Sushi Bay,Central,700.00,39,3.90,Delayed,Cash,13.00,2
ORD00052,2024-11-09,Sushi Bay,Central,267.00,19,5.00,Delivered,UPI,9.00,2
ORD00053,2024-02-11,Sushi Bay,West,1776.00,23,4.70,Refunded,Cash,8.00,1
ORD00054,2024-09-23,Pizza Palace,South,307.00,57,4.50,Delayed,Card,11.00,1
ORD00055,2024-03-02,Spice Garden,North,1455.00,34,2.00,Refunded,Wallet,4.00,0
ORD00056,2024-03-02,Pizza Palace,North,1735.00,42,3.80,Delayed,UPI,7.00,1
ORD00057,2024-03-11,Burger Hub,North,481.00,54,2.00,Cancelled,Card,29.00,2
ORD00058,2024-03-19,Wrap & Roll,Central,839.00,17,2.40,Delivered,UPI,16.00,0
ORD00059,2024-05-14,Sushi Bay,East,251.00,16,4.40,Refunded,Cash,17.00,1
ORD00060,2024-10-14,Spice Garden,South,1558.00,21,3.00,Cancelled,Card,27.00,1
ORD00061,2024-01-19,Burger Hub,West,162.00,74,4.50,Refunded,Wallet,2.00,2
ORD00062,2024-02-06,Wrap & Roll,East,916.00,79,3.90,Refunded,Card,15.00,2
ORD00063,2024-03-09,Spice Garden,Central,1709.00,16,3.10,Delivered,Wallet,18.00,2
ORD00064,2024-12-17,Burger Hub,Central,1721.00,30,3.00,Delayed,Wallet,23.00,0
ORD00065,2024-05-09,Sushi Bay,North,664.00,78,3.90,Delivered,Cash,2.00,0
ORD00066,2024-02-12,Pizza Palace,East,511.00,67,3.50,Delayed,UPI,9.00,0
ORD00067,2024-12-08,Spice Garden,West,1140.00,71,2.00,Cancelled,Cash,26.00,3
ORD00068,2024-07-05,Wrap & Roll,North,272.00,38,3.10,Refunded,Cash,30.00,3
ORD00069,2024-05-08,Burger Hub,South,480.00,20,3.90,Refunded,Wallet,2.00,1
ORD00070,2024-09-16,Sushi Bay,South,939.00,27,2.20,Delivered,UPI,21.00,0
ORD00071,2024-07-16,Pizza Palace,North,1694.00,37,4.40,Delayed,Wallet,19.00,0
ORD00072,2024-03-04,Sushi Bay,North,1503.00,39,4.70,Refunded,Wallet,17.00,0
ORD00073,2024-12-27,Pizza Palace,North,1263.00,50,4.80,Refunded,Cash,8.00,3
ORD00074,2024-10-19,Wrap & Roll,North,266.00,87,4.20,Cancelled,Cash,0.00,2
ORD00075,2024-04-07,Burger Hub,East,1496.00,64,4.50,Delivered,Card,15.00,0
ORD00076,2024-08-05,Pizza Palace,North,1251.00,55,2.80,Refunded,Card,30.00,1
ORD00077,2024-10-13,Spice Garden,South,362.00,44,3.30,Delivered,Card,19.00,2
ORD00078,2024-06-01,Burger Hub,East,824.00,34,4.40,Delivered,UPI,30.00,3
ORD00079,2024-12-12,Sushi Bay,North,1102.00,79,2.90,Delayed,Cash,3.00,3
ORD00080,2024-11-11,Spice Garden,Central,150.00,62,3.70,Cancelled,Wallet,25.00,3
ORD00081,2024-09-06,Burger Hub,East,1657.00,29,4.70,Delivered,UPI,24.00,1
ORD00082,2024-10-06,Burger Hub,Central,618.00,74,2.10,Cancelled,Wallet,13.00,0
ORD00083,2024-12-02,Sushi Bay,West,777.00,73,2.70,Delayed,Cash,25.00,0
ORD00084,2024-12-02,Spice Garden,North,1518.00,18,2.60,Refunded,Wallet,26.00,1
ORD00085,2024-03-01,Sushi Bay,Central,1495.00,63,2.70,Cancelled,Wallet,19.00,0
ORD00086,2024-10-15,Sushi Bay,Central,583.00,20,4.90,Delivered,Card,14.00,2
ORD00087,2024-03-20,Wrap & Roll,North,293.00,87,4.50,Cancelled,Wallet,0.00,1
ORD00088,2024-01-26,Sushi Bay,Central,423.00,72,4.50,Delayed,Cash,20.00,3
ORD00089,2024-02-10,Pizza Palace,East,432.00,27,4.90,Delivered,Wallet,12.00,0
ORD00090,2024-09-20,Sushi Bay,East,972.00,49,3.40,Delivered,Card,13.00,3
ORD00091,2024-12-14,Sushi Bay,Central,1204.00,60,5.00,Cancelled,Cash,1.00,3
ORD00092,2024-08-13,Burger Hub,Central,683.00,87,3.80,Delayed,Wallet,25.00,3
ORD00093,2024-01-09,Pizza Palace,West,739.00,44,3.60,Delayed,UPI,29.00,3
ORD00094,2024-01-09,Spice Garden,North,435.00,83,4.30,Refunded,Cash,12.00,1
ORD00095,2024-08-07,Sushi Bay,East,1524.00,66,2.10,Delivered,Wallet,30.00,1
ORD00096,2024-03-12,Burger Hub,North,911.00,61,2.40,Delayed,Cash,19.00,2
ORD00097,2024-10-25,Pizza Palace,West,324.00,28,2.70,Refunded,Cash,21.00,2
ORD00098,2024-10-05,Pizza Palace,West,467.00,21,2.90,Refunded,Wallet,14.00,0
ORD00099,2024-07-09,Pizza Palace,East,712.00,55,2.70,Delayed,UPI,18.00,3
ORD00100,2024-05-02,Burger Hub,West,453.00,80,4.70,Delayed,UPI,9.00,0
ORD00101,2024-07-28,Sushi Bay,South,1044.00,60,2.60,Refunded,Wallet,6.00,1
ORD00102,2024-10-06,Pizza Palace,South,1355.00,17,4.30,Cancelled,UPI,16.00,3
ORD00103,2024-08-13,Wrap & Roll,North,1574.00,74,2.20,Refunded,UPI,5.00,3
ORD00104,2024-05-05,Wrap & Roll,West,880.00,39,2.50,Delayed,Card,18.00,1
ORD00105,2024-04-12,Burger Hub,Central,1195.00,67,3.20,Delivered,Card,6.00,3
ORD00106,2024-03-02,Pizza Palace,East,1377.00,60,2.30,Delivered,Wallet,6.00,1
ORD00107,2024-06-27,Spice Garden,West,905.00,21,2.60,Delayed,Cash,17.00,1
ORD00108,2024-05-14,Sushi Bay,South,1245.00,28,5.00,Delayed,Wallet,26.00,2
ORD00109,2024-09-16,Spice Garden,West,1260.00,57,4.50,Delivered,Cash,28.00,0
ORD00110,2024-05-10,Wrap & Roll,North,983.00,85,4.50,Refunded,Card,8.00,0
ORD00111,2024-03-07,Burger Hub,East,174.00,39,3.00,Refunded,Card,21.00,2
ORD00112,2024-06-08,Spice Garden,East,1189.00,80,4.20,Refunded,Card,7.00,0
ORD00113,2024-10-20,Sushi Bay,East,149.00,76,2.40,Delayed,UPI,7.00,2
ORD00114,2024-04-20,Wrap & Roll,North,837.00,39,3.30,Delayed,UPI,8.00,1
ORD00115,2024-01-28,Pizza Palace,Central,856.00,84,4.70,Cancelled,UPI,8.00,0
ORD00116,2024-02-14,Sushi Bay,Central,316.00,30,5.00,Cancelled,UPI,1.00,0
ORD00117,2024-05-28,Spice Garden,South,1278.00,68,2.40,Cancelled,Cash,11.00,1
ORD00118,2024-03-15,Wrap & Roll,South,225.00,43,2.40,Delayed,Cash,16.00,1
ORD00119,2024-04-01,Pizza Palace,South,772.00,45,3.90,Refunded,Card,3.00,1
ORD00120,2024-04-16,Pizza Palace,South,419.00,36,2.00,Delivered,UPI,4.00,2
ORD00121,2024-05-11,Burger Hub,North,278.00,20,4.60,Delivered,Wallet,12.00,2
ORD00122,2024-07-14,Wrap & Roll,East,1646.00,53,4.40,Refunded,Card,6.00,3
ORD00123,2024-04-12,Pizza Palace,East,1033.00,76,3.30,Delivered,Cash,12.00,0
ORD00124,2024-08-11,Sushi Bay,North,674.00,58,4.70,Delayed,Wallet,11.00,1
ORD00125,2024-03-04,Spice Garden,South,282.00,33,3.80,Delivered,UPI,10.00,0
ORD00126,2024-02-07,Burger Hub,South,697.00,67,4.60,Delivered,Cash,30.00,3
ORD00127,2024-05-07,Burger Hub,East,1501.00,36,4.30,Delivered,UPI,17.00,3
ORD00128,2024-01-04,Sushi Bay,East,977.00,55,5.00,Cancelled,UPI,13.00,3
ORD00129,2024-02-03,Sushi Bay,West,1466.00,40,2.20,Delivered,Wallet,6.00,3
ORD00130,2024-10-08,Spice Garden,South,434.00,51,3.70,Cancelled,Wallet,22.00,3
ORD00131,2024-06-06,Sushi Bay,North,1205.00,50,4.80,Delivered,Cash,17.00,3
ORD00132,2024-07-04,Spice Garden,South,749.00,67,4.00,Delivered,UPI,9.00,1
ORD00133,2024-08-06,Sushi Bay,Central,400.00,44,3.60,Delivered,UPI,8.00,0
ORD00134,2024-08-14,Pizza Palace,West,741.00,43,4.60,Refunded,Cash,0.00,2
ORD00135,2024-03-10,Pizza Palace,South,1126.00,89,3.30,Cancelled,Card,5.00,3
ORD00136,2024-05-15,Sushi Bay,West,404.00,38,2.40,Refunded,UPI,14.00,0
ORD00137,2024-03-03,Burger Hub,East,1434.00,39,2.90,Cancelled,Card,26.00,2
ORD00138,2024-08-09,Spice Garden,East,178.00,73,3.90,Cancelled,Card,30.00,2
ORD00139,2024-03-28,Burger Hub,Central,496.00,59,3.50,Delayed,Cash,13.00,3
ORD00140,2024-01-11,Spice Garden,East,1349.00,37,2.20,Delivered,Wallet,24.00,1
ORD00141,2024-01-28,Wrap & Roll,Central,767.00,76,3.30,Cancelled,UPI,11.00,0
ORD00142,2024-08-14,Burger Hub,Central,1797.00,81,4.20,Cancelled,UPI,0.00,2
ORD00143,2024-06-15,Pizza Palace,Central,1660.00,36,2.70,Delayed,UPI,11.00,0
ORD00144,2024-06-18,Sushi Bay,West,662.00,54,3.40,Delivered,Card,11.00,0
ORD00145,2024-02-10,Spice Garden,South,930.00,54,3.30,Cancelled,Card,4.00,0
ORD00146,2024-12-09,Wrap & Roll,West,438.00,82,4.80,Cancelled,UPI,17.00,0
ORD00147,2024-05-22,Pizza Palace,South,123.00,80,3.90,Delivered,UPI,5.00,3
ORD00148,2024-11-06,Wrap & Roll,North,775.00,31,2.80,Delivered,UPI,25.00,1
ORD00149,2024-12-13,Sushi Bay,North,772.00,27,4.40,Refunded,Card,9.00,3
ORD00150,2024-05-25,Burger Hub,Central,1800.00,71,2.30,Delayed,Card,11.00,0
